Month,pH,Total Dissolved Solids (mg/L),Temperature,Turbidity (NTU),Chloride (mg/L),Electrical Conductivity (µS/cm) at 25°C),Fluoride (mg/L),Sodium (mg/L)
1,7.959734731647131,260.6825848241826,17.147359654534238,14.037088217149908,41.997766810610734,424.97169648365207,0.3212338062924121,32.4934299814929
2,7.9547299813780254,255.72739292364992,19.05646803227809,10.286610800744878,41.789124767225324,423.025356921167,0.3167554314090627,33.1748851644941
3,7.851779026217228,253.45965667915107,22.115486891385768,10.802933832709114,38.05369538077403,419.2815293383271,0.30667602996254684,32.096591760299624
4,7.768045901639344,242.71928524590163,25.031665573770493,15.692426229508197,39.16285245901639,399.8927737704918,0.31783409836065574,32.744222950819676
5,7.837033660589061,266.61351332398317,26.21751051893408,16.14045582047686,43.42953716690042,446.49991584852734,0.33688990182328193,36.1470476858345
6,7.91147676161919,267.25997751124436,27.921799100449775,35.80349325337331,48.148515742128936,448.1524137931034,0.3635967016491754,40.220164917541226
7,7.832984967788118,226.8793557623479,26.707473156764493,82.71479599141017,39.448360773085184,363.77982104509664,0.3004337866857552,31.6655690765927
8,7.761149425287356,194.00166328600406,26.665375253549694,83.01726842461122,30.46944557133198,314.72406355645705,0.2869235970250169,24.663103448275866
9,7.806314305849189,218.1939252995067,26.723530655391123,44.900253699788585,32.8484496124031,350.97434108527136,0.24559408033826638,27.69371388301621
10,7.836825842696629,238.31480337078654,25.477275280898876,44.512148876404495,37.928089887640446,386.70150983146067,0.2776067415730337,30.622858146067415
11,7.922779243623571,281.31551451187335,22.350835532102025,21.51729991204925,40.52128408091468,450.1270712401055,0.27969041336851364,33.21920844327177
12,7.992740585774059,255.75949790794976,19.55728033472803,18.09994769874477,36.489246861924684,407.1360146443515,0.30280439330543935,28.58945606694561
